ID,start_date,end_date ,duration,Info_source ,news_link ,continent,sub-region,country ,geo_scope,area_name ,ordered_by ,decision_maker,shutdown_type_new,affected_network,full or service-based,Facebook_affected,Twitter_affected,WhatsApp_affected,Instagram_affected,Telegram_affected,other_service_details (specify) ,SMS_and_phone_call_affected,telcos_involved ,gov_ack,official_just,other_just_details,off_statement,actual_cause,other_cause_details,election,violence,hr_abuse_reported,users_notified,users_affected/targetted ,legal_justif,legal_method ,telco_resp,telco_ ack,econ_impact,event ,an_link ,notes
154,7/5/2019,,,CSO KIO Partners ,https://internetshutdowns.in/,Asia Pacific,,India ,Level 1,"Shopian, Jammu and Kashmir",State government,,Shutdown,Mobile,Full,FALSE,FALSE,FALSE,FALSE,FALSE,,None,,Unknown ,Other,Precautionary Measure,,Other,Military Action,No,Yes,Unknown,Unknown,Others,Unknown,,Unknown,,,Mobile Internet services were suspended in Shupiyan district of Jammu and Kashmir as a preventive measure in the wake of an encounter between security forces and militants.,,
155,7/8/2019,,,News Media Article,"https://zeenews.india.com/india/separatist-leaders-under-house-arrest-internet-shutdown-on-burhan-wani-s-death-anniversary-2217495.html

http://www.uniindia.com/mobile-internet-remains-suspended-for-2nd-day-in-south-kashmir/north/news/1657845.html",Asia Pacific,,India ,Level 1,"South Kashmir, Jammu and Kashmir",State government,State Government,Shutdown,Mobile and broadband,Full,,,,,,Full network shutdown in South kashmir and speed reduced to 2G in Srinagar,None,BSNL,Yes ,Other,Precautionary Measure,,Religious Holiday / Anniversary,,No ,No ,Unknown,Unknown,Others,Unknown,,Yes,http://www.uniindia.com/mobile-internet-remains-suspended-for-2nd-day-in-south-kashmir/north/news/1657845.html,,Internet shutdown in South Kashmir and Srinagar to prevent violence on death anniversary of terrorist Burhan Wani,,
156,7/8/2019,Unkown ,,News Media Article,http://adengd.net/news/395650,MENA ,,Yemen ,Level 1,Hadhramout,Unknown ,,Shutdown,Mobile and broadband,Full,,,,,,,None,,Unknown ,Unknown ,,,Unknown,,Unknown,Unknown,Unknown,Unknown,,Unknown,,Unknown,,,,,
159,7/17/2019,,,News Media Article,https://www.greaterkashmir.com/news/kashmir/brief-exchange-of-fire-in-sopore-village-schools-closed-internet-suspended/,Asia Pacific,,India ,Level 1,"Sopore village, Baramulla district, Jammu and Kashmir state",Law Enforcemnet ,,Shutdown,Mobile and broadband,Full,,,,,,,None,,Yes ,None,,,Other,Military Action,No ,Yes ,Unknown,Unknown,Others,Unknown,,Unknown,,,Internet shutdown in Sopore as a Precautionary Measure to ensure security after exchange of fire between security personnel and terrorists during a serach operation,,
160,7/18/2019,7/20/2019,,News Media Article,https://english.newstracklive.com/news/rumours-not-getting-stopped-in-udaipur-internet-service-shut-down-for-48-hours-1022499-1.html,Asia Pacific,,India ,Level 1,"Udaipur city, Rajasthan",Law Enforcemnet ,Divisional Commissioner.,Shutdown,Mobile and broadband,Full,FALSE,FALSE,FALSE,FALSE,FALSE,,None,,Yes ,Fake News / Hate Speech / Incendiary Content or Promoting Violence,,,Protest,Policy Bruitality,No ,Yes ,Unknown,Unknown,Others,Unknown,,Unknown,,,Internet services were suspended from 18-20 July in 10 towns of Udaipur district of Rajasthan to stop the spread of rumours after the uproar over the killing of a man Ramesh Patel in police station.,,
161,7/19/2019,,,News Media Article,https://www.hindustantimes.com/india-news/pdp-leader-s-guard-shot-dead-outside-a-mosque-in-anantnag/story-XkSPNspu0ldYcqJyCG9e2M.html,Asia Pacific,,India ,Level 1,"Anantnag district, parts of south Kashmir, Jammu and Kashmir",State government,State Government,Shutdown,Mobile and broadband,Full,,,,,,,None,,No,None,,,Other,Military Action,No ,Yes ,Unknown,No ,Others,Unknown,,Unknown,,,Internet shutdown in Anantnag after security personnels launched a search operation to track down militants who killed the security officer of a local leader,,
163,7/27/2019,,,News Media Article,http://www.uniindia.com/news/north/encounter-ensues-between-militants-sf-in-shopian/1679318.html,Asia Pacific,,India ,Level 1,"Shopian district, Jammu and Kashmir",Law Enforcemnet ,"SOG, J&K police, RR and CRPF",Shutdown,Mobile and broadband,Full,,,,,,,None,,Yes ,Fake News / Hate Speech / Incendiary Content or Promoting Violence,,,Other,Military Action,No ,Yes ,Unknown,Unknown,Others,Unknown,,Unknown,,,Internet shutdown in Shopian as a Precautionary Measure to ensure  security after a gunfight between security personnels and terrorists,,
165,7/30/2019,,,News Media Article,https://www.greaterkashmir.com/news/kashmir/tral-shuts-to-mourn-militants-killing/,Asia Pacific,,India ,Level 1,"Tral sub-district, Pulwama district, Jammu and kashmir",State government,State Government,Shutdown,Mobile and broadband,Full,,,,,,,None,,No,None,,,Protest,Military Action,No ,Yes ,Unknown,Unknown,Others,Unknown,,Unknown,,,Internet shutdown in tral Sub-division of Pulwama district in Jammu and Kashmir after clashes erupted following the gunning down of a terrorist ,,
166,8/2/2019,,,News Media Article,http://www.uniindia.com/several-persons-injured-in-sf-action-on-demonstrators-in-shopian/north/news/1685916.html,Asia Pacific,,India ,Level 1,"Shopian district, Jammu and Kashmir",Law Enforcemnet ,,Shutdown,Mobile,Full,,,,,,,None,,Yes ,Fake News / Hate Speech / Incendiary Content or Promoting Violence,,,Protest,Military Action,No ,Yes ,Unknown,Unknown,Others,Unknown,,Unknown,,,Internet shutdown in Shopian to ensure security following a gunfight between terrorists and security forces and the locals pelting stones on security forces in which a soldier was martyred.,,
167,8/3/2019,,,News Media Article,http://www.uniindia.com/news/north/sopore-encounter-militant-killed-soldier-injured-operation-continues/1687072.html,Asia Pacific,,India ,Level 1,"Sopore town, Jammu and Kashmir",Law Enforcemnet ,,Shutdown,Mobile,Full,,,,,,,None,,Yes ,Fake News / Hate Speech / Incendiary Content or Promoting Violence,,,Other,Military Action,No ,Yes ,Unknown,Unknown,Others,Unknown,,Unknown,,,Internet shutdown in Sopore following a gun fight between the security personnel and terrorists during a CASO search operation,,
169,8/3/2019,8/3/2019,,Social Media,https://meduza.io/en/news/2019/08/07/bbc-russian-service-reportedly-finds-letter-confirming-that-moscow-police-ordered-cell-signal-shutdown-during-august-3-protest,Europe,,Russia,Level 1,Moscow,Law Enforcemnet ,Moscow police,Shutdown,Mobile,Full,FALSE,FALSE,FALSE,FALSE,FALSE,,SMS and Phone call,"MTS, Beeline, and MegaFon",Yes ,Unknown,,,Protest,Election related protest ,No,Unknown,Unknown,Unknown,Others,Unknown,,Yes,https://meduza.io/en/news/2019/08/07/bbc-russian-service-reportedly-finds-letter-confirming-that-moscow-police-ordered-cell-signal-shutdown-during-august-3-protest,,,,
170,8/8/2019,,,News Media Article,https://www.indiatoday.in/india/story/kashmir-jammu-article-370-live-updates-modi-situation-srinagar-pakistan-1578471-2019-08-08,Asia Pacific,,India ,Level 1,"Kargil town, Jammu and Kashmir",State government,State Government,Shutdown,Mobile and broadband,Full,,,,,,,None,,No,None,,,Protest,Political Instability,No ,No ,Unknown,Unknown,Others,Unknown,,Unknown,,,Internet shutdown in Kargil to prevent unrest and ensure peace after scrapping down of Article 370,,
172,8/15/2019,8/15/2019,,News Media Article,https://twitter.com/netblocks/status/1171460771072471046,Asia Pacific,,Pakistan,Level 1,Azad Kashmir. ,Uknown ,,Shutdown,Mobile and broadband,Full,FALSE,FALSE,FALSE,FALSE,FALSE,,,"Pakistan Telecommunication Company Limited
 and Interior Ministry ",Unknown ,Unknown ,,,"Protests
",,No ,unknown ,unknown ,unknown ,,unknown ,,unknown ,,,,,
177,9/7/2019,9/7/2019,,News Media Article,"https://netblocks.org/reports/pakistan-shuts-down-internet-in-kashmir-restricts-access-in-punjab-and-beyond-3Anw7dB2
https://www.top10vpn.com/assets/2020/01/Top10VPN.com-Cost-of-Internet-Shutdowns-2019-Supporting-Data.pdf",Asia Pacific,,Pakistan,,Azad Kashmir. ,Executive government,Pakistan Telecommunication Autority  and Interior Ministry ,Shutdown,Mobile,Full,FALSE,FALSE,FALSE,FALSE,FALSE,,,"Pakistan Telecommunication Company Limited
 and Interior Ministry ",Yes ,National Security,,,"Protests
",,No ,No ,No ,unknown ,,unknown ,,unknown ,,,,,
179,9/10/2019,Ongoing ,,News Media Article,https://www.hrw.org/news/2019/09/13/bangladesh-internet-blackout-rohingya-refugees,Asia Pacific,,Bangladesh,Level 1,Refugee Camps in Cox Bazar district and peninsula adjoining the Naf River ,Executive government,Bangladesh Telecommunication Regulatory Commission ,Shutdown,Mobile,Full,FALSE,FALSE,FALSE,FALSE,FALSE,,,,Yes ,National Security,,,"Protests
",,No ,No ,No ,No ,Minority groups ,unknown ,,,,,,,
186,10/11/2019,,,News Media Article,https://www.hindustantimes.com/india-news/one-dead-12-injured-in-communal-clash/story-mJ41o198Q00wL305dMUtyN.html,Asia Pacific,,India ,Level 1,"Jehanabad, Bihar",Law Enforcemnet ,,Shutdown,Mobile,Full,FALSE,FALSE,FALSE,FALSE,FALSE,,None,,Unknown ,Fake News / Hate Speech / Incendiary Content or Promoting Violence,,,Communal Violence,,No,Yes,Unknown,Unknown,Others,Yes,Section 144 CrCP,Unknown,,,"Mobil internet services were suspended on Oct 11, 2019 in Jehanabad, Bihar to prevent rumour mongering after communal clashes took place during Durga idol immersion procession. Shops were ransacked and set on fire by violent mobs. Later police held a peace dialogue with clashing communities.",,
187,10/11/2019,Ongoing ,,News Media Article,https://netblocks.org/reports/twitter-facebook-whatsapp-and-instagram-restricted-in-southern-turkey-oy9RzE83,MENA ,,Turkey,Level 3,"Gaziantep, Sanlıurfa, Hatay,",,ICTA regulatory ,Shutdown,Mobile and broadband,Service-based,TRUE,TRUE,TRUE,TRUE,FALSE,,,TTNet,Unknown ,Unknown ,,,Military Operation ,,No ,unknown ,unknown ,No ,,unknown ,,unknown ,,,,,
188,10/12/2019,10/12/2019,,News Media Article,https://netblocks.org/reports/mobile-internet-disrupted-in-quito-as-ecuador-political-crisis-escalates-eBOgkJBZ,South America,,Ecuador,Level 3,National,Executive government,,Shutdown,Mobile,Full,FALSE,FALSE,FALSE,FALSE,FALSE,,,Claro,Unknown ,Unknown ,,,Protest,,No ,Yes ,Yes ,Unknown,,Unknown,,Unknown,,,,,
190,10/15/2019,10/15/2019,,News Media Article,https://twitter.com/TurkeyBlocks/status/1183939168298254340,MENA ,,Turkey,Level 3,National ,,,Shutdown,Mobile and broadband,Service-based,FALSE,TRUE,FALSE,FALSE,FALSE,,, Turkcell Superonline ,Unknown ,Unknown ,,,Unknown ,,No ,No ,No ,No ,,No ,,Yes ,,,,,
191,10/22/2019,10/23/2019,,CSO KIO Partners ,http://digitalrightsmonitor.pk/network-shutdowns-expected-in-islamabad-and-areas-of-kpk-during-jui-f-azadi-march/,Asia Pacific,,Pakistan,, Islamabad and Khyber Pakhtunkhwa ,Executive government,,Shutdown,Mobile,Full,FALSE,FALSE,FALSE,FALSE,FALSE,,,"Pakistan Telecommunication Company Limited
 and Interior Ministry ",,Unknown,,,"Protests 
",Political Rally ,No ,No ,No ,unknown ,,,,unknown ,,,,,
194,11/6/2019,11/6/2019,,News Media Article,https://newsyemen.net/new/47651,MENA ,,Yemen ,Level  2,,Unknown ,,Shutdown,Broadband,Full,,,,,,,None,,Yes ,Technical Problems,,,Unknown ,,Unknown,Unknown,Unknown,Unknown,,Unknown,,Unknown,,,,,
