ID,start_date,end_date ,duration,Info_source ,news_link ,continent,sub-region,country ,geo_scope,area_name ,ordered_by ,decision_maker,shutdown_type_new,affected_network,full or service-based,Facebook_affected,Twitter_affected,WhatsApp_affected,Instagram_affected,Telegram_affected,other_service_details (specify) ,SMS_and_phone_call_affected,telcos_involved ,gov_ack,official_just,other_just_details,off_statement,actual_cause,other_cause_details,election,violence,hr_abuse_reported,users_notified,users_affected/targetted ,legal_justif,legal_method ,telco_resp,telco_ ack,econ_impact,event ,an_link ,notes
185,10/7/2019,10/7/2019,0,News Media Article,"https://advox.globalvoices.org/2019/10/11/netizen-report-turkey-iraq-and-ecuador-face-network-shutdowns-amid-conflict-public-protests/
https://netblocks.org/reports/evidence-of-social-media-disruptions-in-ecuador-as-crisis-deepens-oy9RN483",South America,,Ecuador,Level 3,National,Executive government,,Throttle,Mobile and broadband,Service-based,TRUE,TRUE,TRUE,FALSE,FALSE,,,Corporación Nacional de Telecomunicaciones (CNT) ,Unknown ,Unknown ,,,Protest,,No ,Yes ,Yes,Unknown,,Unknown,,Unknown,,,,,
6,1/1/2019,1/2/2019,1,News Media Article,"https://www.indiatoday.in/india/video/bhima-koregaon-anniversary-internet-services-suspended-to-maintain-order-1421040-2019-01-01

https://indianexpress.com/article/india/bhima-koregaon-anniversary-live-updates-chandrashekhar-azad-pune-police-elgaar-parishad-5517879/",Asia Pacific,,India ,Level 1,"Bhima Koregaon village, Pune district, Maharashtra state",State government,Maharashtra State Government,Shutdown,Mobile and broadband,Full,FALSE,FALSE,FALSE,FALSE,FALSE,,SMS,,Yes ,Other,Precautionary Measure ,,Religious Holiday / Anniversary,,No ,No,No,No,Others,Yes,Section-144 of CrPC,Unknown,,,Possible violence on Anniversary of Bhima Koregaon conflict,,
10,1/7/2019,1/8/2019,1,CSO KIO Partners ,"https://ooni.torproject.org/post/gabon-internet-disruption/

https://cpj.org/2019/01/gabon-shuts-down-the-internet-and-broadcasting-ser.php",Africa,,Gabon,Level 3,National ,Executive government,,Shutdown,Mobile and broadband,Full and Service-based,TRUE,TRUE,TRUE,FALSE,FALSE,,None,"Airtel (Bharti Airtel)
Azur (Bintel) 
Gabon Telecom (Maroc Telecom) ",No,None,,,Political Instability,Military Coup,No ,Unknown,Unknown,Unknown,Others,No ,,Unknown,,,"On 7th January 2019, a military coup was attempted in Gabon in a bid to end more than 50 years of rule by President Ali Bongo’s family. The coup attempt was quickly foiled. Meanwhile, a curfew has been imposed and NetBlocks reported that access to the Internet has been shut down.",,
19,1/24/2019,1/25/2019,1,News Media Article,"https://www.deccanherald.com/national/internet-services-suspended-714715.html

http://www.millenniumpost.in/nation/internet-services-suspended-in-odishas-kpara-district-337819",Asia Pacific,,India ,Level 1,"Kendrapara, Odisha",Local government,Kendrapara District Government,Shutdown,Mobile,Full,FALSE,FALSE,FALSE,FALSE,FALSE,,None,,Yes ,Other,Precautionary Measure,"""Net connectivity has been disabled in the urban areas. We took recourse to such precautionary steps to prevent breach of peace in sensitive areas,"" Kendrapara District Collector Dasarathy Satpathy said.",Communal Violence,,No ,Unknown,Unknown,Unknown,Others,Yes,Section-144 of CrPC,Unknown,,,Internet shutdown in Kendrapada following communal clashes during Netaji's birthday celebration.,,
21,1/26/2019,1/27/2019,1,News Media Article,"http://www.uniindia.com/~/republic-day-mobile-internet-service-suspended-in-kashmir/States/news/1479446.html

https://www.tribuneindia.com/news/jammu-kashmir/mobile-internet-services-suspended-in-kashmir-in-view-of-r-day/719570.html",Asia Pacific,,India ,Level  2,Kashmir,State government,Jammu and Kashmir State Government,Shutdown,Mobile,Full,FALSE,FALSE,FALSE,FALSE,FALSE,,None,"Bharat Sanchar Nigam Limited (BSNL), Airtel",Yes ,Other,Precautionary Measure,"Mobile internet services were snapped in the early hours as stringent security arrangements were put in place for Republic Day celebrations across Kashmir Valley, a police official said.

He said the services were snapped as a Precautionary Measure.",Religious Holiday / Anniversary,,No ,Unknown,Unknown,Unknown,Others,Unknown,,Yes,http://www.uniindia.com/~/republic-day-mobile-internet-service-suspended-in-kashmir/States/news/1479446.html,,Internet shutdown in the Kashmir Valley to ensure law and order and peace on Republic day,,
25,2/3/2019,2/4/2019,1,News Media Article,"https://www.thehindu.com/news/national/internet-services-snapped-in-srinagar-ahead-of-pms-visit/article26166768.ece

https://kashmirlife.net/mobile-internet-services-restored-2-200598/",Asia Pacific,,India ,Level 1,"Srinagar, jammu and Kashmir",State government,Jammu and Kashmir State Government,Shutdown,Mobile,Full,FALSE,FALSE,FALSE,FALSE,FALSE,,None,,Yes ,Other,Precautionary Measure,,Visits by Government Officials,,No ,Unknown,Unknown,Unknown,Others,Unknown,,Unknown,,,Internet shutdown in Srinagar to ensure law and order during PM's Kashmir visit to ensure that PM'svisit passes off smoothly.,,
30,2/12/2019,2/13/2019,1,News Media Article,"https://scroll.in/latest/912977/rajasthan-gujjar-protests-internet-services-suspended-in-sawai-madhopur-district-till-wednesday

https://www.newsnation.in/india-news/gujjar-community-stir-agitation-rajasthan-sawai-madhopur-trains-affected-internet-suspended-gurjar-kirori-singh-bainsla-chief-minister-ashok-gehlot-article-213872.html",Asia Pacific,,India ,Level 1,"Sawai Madhopur district, Rajasthan",Local government,District Officials,Shutdown,Mobile and broadband,Full,FALSE,FALSE,FALSE,FALSE,FALSE,,None,,Yes ,Other,Precautionary Measure,,Protest,,No ,Unknown,Unknown,Unknown,Others,Unknown,,Unknown,,,Internet Shutdown in Sawai Madhopur district of Rajasthan after the Gujjar reservation protest entered its fifth dayand taken over the railway tracks hampering movements of trains,,
32,2/13/2019,2/14/2019,1,News Media Article,"https://timesofindia.indiatimes.com/city/agra/internet-suspended-for-24-hours-in-aligarh-following-amu-clash/articleshow/67981464.cms

https://www.indiatoday.in/india/story/amu-sedition-case-agitation-aligarh-1455057-2019-02-13",Asia Pacific,,India ,Level 1,"Aligarh district, Uttar pradesh",Local government,District Officials,Shutdown,Mobile and broadband,Full,FALSE,FALSE,FALSE,FALSE,FALSE,,None,,Yes ,Other,Precautionary Measure,,Communal Violence,,No ,Yes,Unknown,Unknown,Others,Yes,"Section 144 of CrPC
",Unknown,,,Internet Shutdown in Aligarh district following a clash between student groups where several student were injured.,,
33,2/14/2019,2/15/2019,1,News Media Article,"https://timesofindia.indiatimes.com/india/pulwama-attack-mobile-internet-shut-in-south-kashmir-speed-reduced-to-2g-level-in-srinagar/articleshow/67998777.cms

https://www.firstpost.com/india/pulwama-attack-live-updates-internet-services-snapped-in-south-kashmir-cabinet-committee-on-security-to-meet-tomorrow-6087641.html


",Asia Pacific,,India ,Level  2,"Srinagar, South Kashmir, Kashmir Valley, Jammu and Kashmir",State government,Jammu and Kashmir State Government,Shutdown and throttle,Mobile,Full,FALSE,FALSE,FALSE,FALSE,FALSE,Internet suspended in South Kashmir and speed reduced to 2G in Srinagar,None,,Yes ,Other,Precautionary Measure,,Other,Military Action,No ,Yes,Unknown,Unknown,Others,Yes,Martial Law,Unknown,,,Internet shutdown in South Kashmir and speed reduced to 2G in Srinagar as a Precautionary Measure to prevent the spread of rumours and ensure security following one of the most deadliest attacks on Indian Security Forces in which 44 soldiers were martyred.,,
35,2/18/2019,2/19/2019,1,News Media Article,https://www.newsnation.in/india-news/jk-major-among-4-army-men-killed-in-overnight-encounter-in-pulwamas-pinglan-internet-services-suspended--article-214466.html,Asia Pacific,,India ,Level 1,"Pinglan, Pulwama district, Jammu and Kashmir",State government,Jammu and Kashmir State Government,Shutdown,Mobile and broadband,Full,FALSE,FALSE,FALSE,FALSE,FALSE,,None,,No,None,,,Other,Military Action,No ,Yes,Unknown,Unknown,Minority Groups,No,,Unknown,,,Internet shutdown in Pinglan area of Pulwama district as a Precautionary Measure to ensure safety following  an encounter of security forces with terrorists in which four soldiers were martyred and three terrorists were killed,,
37,2/22/2019,2/23/2019,1,News Media Article,"https://netblocks.org/reports/algeria-internet-disruptions-amid-mass-demonstrations-WJBZjMB6
https://transparency.facebook.com/internet-disruptions",Africa,,Algeria,Level 3,National ,Executive government,,Shutdown,Mobile and broadband,Full,FALSE,FALSE,FALSE,FALSE,FALSE,,,"Ooredoo (NMTC) 
Mobilis (Algerie Telecom)
Djezzy ",Unknown ,Unknown ,,,"Protests
",,No ,Yes ,Yes ,Unknown,,Unknown,,Unknown,,,,,
55,3/21/2019,3/22/2019,1,News Media Article,"https://www.livemint.com/news/india/three-gunfights-on-in-kashmir-valley-1-militant-killed-1553161159704.html

https://www.business-standard.com/article/news-ians/seven-killed-in-jammu-and-kashmir-gunfights-119032200268_1.html",Asia Pacific,,India ,Level 1,"Sopore, Jammu and Kashmir",State government,State government,Shutdown,Mobile and broadband,Full,FALSE,FALSE,FALSE,FALSE,FALSE,,,,Unknown ,Other,Precautionary Measure,,Other,Military Action,No ,Yes,Unknown,Unknown,Others,Unknown,,No,,,"Internet shutdown in Sopore as a precautinoary meausure to ensure security after a bomb was hurdled by the terrorists on a group of policemen, leading to an encounter.

Following the killings of six militants and a 12-year-old boy on Friday in three separate gunfights in Jammu and Kashmir, mobile internet services were suspended on 22nd March 2019 in the districts as a Precautionary Measure.",,
62,4/1/2019,4/2/2019,1,News Media Article,https://www.dailypioneer.com/2018/state-editions/punjab-to-shut-down-today.html,Asia Pacific,,India ,Level  2,Punjab State,State government,,Shutdown,Mobile and broadband,Full,,,,,,,SMS,,Yes ,Other,Precautionary Measure,,Protest,,No ,Unknown,Unknown,Unknown,Others,Unknown,,Unknown,,,"In the view of strike calls by dalit groups in Punjab, expressing concerns over the alleged ""dilution"" of SCs/STs (Prevention of Atrocities) Act, the Punjab government has ordered suspension of Mobile Internet services (2G/3G/4G/CDMA), all SMS services and all dongle services etc, provided on mobile networks except voice calls in the territorial jurisdiction of the state of Punjab, from 5 pm on April 1, 2018, to 11 pm on April 2.",,
63,4/3/2019,4/4/2019,1,News Media Article,"https://www.indiatvnews.com/news/india-pakistan-s-drone-spotted-in-punjab-s-khemkaran-sector-blackout-ordered-internet-services-shut-512401

https://www.newindianexpress.com/nation/2019/apr/04/pakistani-drone-which-entered-indian-airspace-in-punjab-shot-at-1960152.html",Asia Pacific,,India ,Level 1,"Tarn Taran district, Punjab",State government,State government,Shutdown,Mobile and broadband,Full,FALSE,FALSE,FALSE,FALSE,FALSE,,None,,Yes ,Other,Precautionary Measure,,Other,Military Action,No ,Yes,Unknown,Unknown,Others,Unknown,,Unknown,,,Internet shutdown in Khemkaran sector in Punjab after a Pakistani drone was spotted flying over the sector to spy on Indian security forces. The drone was later shot down. Electricity were shut at the same time.,,
64,4/5/2019,4/6/2019,1,News Media Article,"https://indiablooms.com/news-details/N/48479/jammu-and-kashmir-mobile-internet-snapped-in-srinagar.html

https://scroll.in/latest/919061/j-k-clashes-break-out-between-inmates-and-staff-at-srinagar-central-jail",Asia Pacific,,India ,Level  2,"Srinagar, and South Jammu, Jammu and Kashmir",State government,State government,Shutdown and throttle,Mobile,Full,FALSE,FALSE,FALSE,FALSE,FALSE,,None,"BSNL, Airtel",Yes ,Fake News / Hate Speech / Incendiary Content or Promoting Violence,Precautionary Measure,,Political Instability,,No ,Unknown,Unknown,Unknown,Others,Unknown,,Yes,https://indiablooms.com/news-details/N/48479/jammu-and-kashmir-mobile-internet-snapped-in-srinagar.html,,Internet shutdown in Srinagar to prevent the spread of rumours following clashes and fire in the Central jail.,,
67,4/7/2019,4/8/2019,1,News Media Article,https://netblocks.org/reports/social-media-disrupted-in-sudan-as-protests-converge-in-khartoum-peBONpAZ,Africa,,Sudan,Level 1,Khartoum,Executive government,,Shutdown,Mobile and broadband,Service-based,TRUE,TRUE,TRUE,TRUE,TRUE,,,,No,National Security,,,"Protests
",,No ,Yes ,Yes ,No ,,No ,,,,,,,
72,4/16/2019,4/17/2019,1,News Media Article,https://www.telegraphindia.com/states/west-bengal/internet-banned-in-asansol-till-april-17/cid/1688912,Asia Pacific,,India ,Level 1,"Asansol, West Bengal state",State government,State government,Shutdown,Mobile and broadband,Full,FALSE,FALSE,FALSE,FALSE,FALSE,,None,,Yes ,Public Safety / Quell Unrest / Restore Public Order,Precautionary Measure,,Communal Violence,,No ,Yes,Unknown,Unknown,Others,Yes,Section 144 CrPC ,Unknown,,,Internet Shutdown in Asansol Division of West Bengal after clashes erpted between communities over Ram Navmi processions in Barakar,,
74,4/18/2019,4/19/2019,1,News Media Article,"https://www.greaterkashmir.com/news/kashmir/lok-sabha-polls-kashmir-shuts-mobile-internet-suspended/

https://www.newsnation.in/election/lok-sabha-election-2019/mobile-internet-services-suspended-in-kashmir-parts-as-lok-sabha-polls-phase-2-begins-article-220972.html

http://www.newindianexpress.com/nation/2019/apr/18/normal-life-affected-due-to-strike-in-srinagar-lok-sabha-constituency-1965967.html",Asia Pacific,,India ,Level  2,"Srinagar, Budgam and Ganderbal districts, Central and South Kashmir, Jammu and Kashmir",State government,State government,Shutdown,Mobile,Full,FALSE,FALSE,FALSE,FALSE,FALSE,,None,,Yes ,Public Safety / Quell Unrest / Restore Public Order,Precautionary Measure,,Election,,Yes,No,Unknown,Unknown,Others,Unknown,,Unknown,,,Internet Shutdown in Kashmir Valley to ensure free and safe General Elections and prevent violence,,
83,4/27/2019,4/28/2019,1,News Media Article,https://www.alsabahalyemeni.net/2019/04/%D8%A7%D9%86%D9%82%D8%B7%D8%A7%D8%B9-%D8%AE%D8%AF%D9%85%D8%A9-%D8%A7%D9%84%D8%A7%D9%86%D8%AA%D8%B1%D9%86%D8%AA-%D8%B9%D9%86-%D9%87%D8%B0%D9%87-%D8%A7%D9%84%D9%85%D8%AD%D8%A7%D9%81%D8%B8%D8%A7%D8%AA/,MENA ,,Yemen ,Level 1,,Non-government,,Shutdown,Broadband,Full,,,,,,,None,,Yes ,Technical Problems / Infrastructure Failure,,,Unknown,,Unknown,Unknown,Unknown,Unknown,,Unknown,,Unknown,,,,,
84,4/29/2019,4/30/2019,1,News Media Article,https://www.greaterkashmir.com/news/kashmir/ls-polls-shutdown-in-south-kashmirs-kulgam-train-service-mobile-internet-suspended/,Asia Pacific,,India ,Level  2,"South Kashmir,  Kashmir Valley, Jammu and Kashmir",State government,State government,Shutdown,Mobile,Full,FALSE,FALSE,FALSE,FALSE,FALSE,,None,,Yes ,Other,Precautionary Measure,,Election,,Yes,No,Unknown,Unknown,Others,Unknown,,Unknown,,,Internet Shutdown in South Kashmir to ensure safety and security in the second phase of general elections in Jammu and Kashmir,,
86,5/1/2019,5/2/2019,1,CSO KIO Partners ,https://netblocks.org/reports/new-internet-disruption-in-benin-amid-riots-following-elections-W80ZKLBK,Africa,,Benin ,Level 3,National ,Executive government,,Shutdown and throttle,Mobile and broadband,Full and Service-based,TRUE,TRUE,TRUE,TRUE,TRUE,VPN services,None,"MTN 
Moov (Marco Telecom) ",Yes ,Unknown ,,,Protest,,Yes ,Yes ,Unknown,Yes ,Others,Unknown,,Unknown,,,Benin Shuts Down Social Media Access Amid Poll-Fueled Protests,,
90,5/5/2019,5/6/2019,1,CSO KIO Partners ,https://netblocks.org/reports/social-media-blocked-again-in-sri-lanka-eBOgWDBZ,Asia Pacific,,SriLanka,Level 3,National ,Executive government,,Shutdown,Mobile and broadband,Service-based,TRUE,FALSE,TRUE,TRUE,FALSE,"YouTube, Viber, Snapchat and Facebook Messenger ",None,"Airtel (Bharti Airtel), Dialog (Axiata), Hutch (CK Hutchison), 
Mobitel (Sri Lanka Telecom) ",Yes ,Fake News / Hate Speech / Incendiary Content or Promoting Violence,,,Information Control,,No ,No ,No ,Unknown,Others,Unknown,,Unknown,,,"Facebook, WhatsApp, Instagram, YouTube, Viber, Snapchat and Facebook Messenger were blocked again in Sri Lanka, as of 5:00 p.m UTC Sunday 5 May 2019 (10:30 p.m local time), only days after service was restored following a previous blockade, according to network measurement data from the NetBlocks internet observatory.",,
110,5/24/2019,5/25/2019,1,News Media Article,"https://www.firstpost.com/india/zakir-musa-encounter-in-tral-curfew-imposed-in-parts-of-kashmir-educational-institutes-internet-shut-down-as-precautionary-measure-6693041.html   

https://www.aljazeera.com/news/2019/05/zakir-musa-tensions-kashmir-killing-top-rebel-190524092820067.html 

https://www.greaterkashmir.com/news/kashmir/kashmir-shuts-against-zakir-musa-civilian-killings-internet-train-service-suspended/ ",Asia Pacific,,India ,Level  2,"Tral and parts of Kashmir, Jammu and Kashmir",State government,State government,Shutdown,Mobile and broadband,Full,FALSE,FALSE,FALSE,FALSE,FALSE,,None,,Yes ,Other,Precautionary Measure,,Religious Holiday / Anniversary,Political Instability,No ,Yes,Unknown,Unknown,Others,Yes,Section 144 CrPc,Unknown,,,Internet Shutdown in parts of Kashmir to ensure security after gunning down of Al-Quida terrorist Zakir Musa by the security forces in Tral,,
121,6/7/2019,6/8/2019,1,CSO KIO Partners ,"https://twitter.com/netblocks/status/1137014502459871233

https://frontpageafricaonline.com/politics/liberia-the-council-of-patriots-organizing-another-round-of-savethestate-protest/",Africa,,Liberia,Level 3,National ,Executive government,,Shutdown,Mobile and broadband,Full and Service-based,TRUE,FALSE,TRUE,TRUE,FALSE,"Snapchat, Google’s Gmail service",None,"LIBTELCO, Lonestar Cell MTN, NOVAFONE, Orange ",Unknown ,Public Safety / Quell Unrest / Restore Public Order,,,Protest,Economic Crisis,No ,Unknown,Unknown,Unknown,Others,Unknown,,Unknown,,,"The Liberian Government, on the day of the #SaveTheState  protest, basically shutdown the Internet in the country. Social media sites including WhatsApp, Instagram, Snapchat, Facebook, Google’s Gmail service and the website of The Associated Press were among the sites affected to quell the protests. ",,
124,6/9/2019,6/10/2019,1,CSO KIO Partners ,"https://netblocks.org/reports/internet-and-streaming-services-blocked-in-kazakhstan-on-election-day-dAmOP7y9

https://www.rferl.org/a/balloting-for-first-new-kazakh-president-in-three-decades-marred-by-hundreds-of-arrests/29990697.html",Asia Pacific,,Kazakhstan,Level 3,National ,Executive government,,Shutdown and throttle,Mobile and broadband,Service-based,TRUE,TRUE,FALSE,TRUE,FALSE,Streaming services,None,"Beeline (VEON), Kcell (Fintur), Tele2 / ALTEL ",Unknown ,Technical Problems / Infrastructure Failure,,,Election,,Yes ,Unknown,Yes ,Unknown,Others,Unknown,,Unknown,,,,,
151,7/1/2019,7/1/2019,1,News Media Article,https://www.telegraphindia.com/india/internet-blocked-to-nip-lynch-backlash-in-meerut/cid/1693615,Asia Pacific,,India ,Level 1,"Meerut city, Uttar Pradesh",State government,Uttar Pradesh government,Shutdown,Mobile,Full,,,,,,,None,,Yes ,Fake News / Hate Speech / Incendiary Content or Promoting Violence,,,Information Control,Protest,No ,Yes ,Unknown,Unknown,Others,Yes,Section 144 CrPC,Unknown,,,Internet shutdown in Meerut as a Precautionary Measure to nip backlash after a lynching incident,,
158,7/16/2019,7/17/2019,1,News Media Article,https://www.pinkcitypost.com/ramesh-patel-murder-case-internet-services-suspended-in-udaipur-for-24-hours/,Asia Pacific,,India ,Level 1,"Udaipur city, Rajasthan",State government,Udaipur district administration,Shutdown,Mobile and broadband,Full,,,,,,,None,,Yes ,Fake News / Hate Speech / Incendiary Content or Promoting Violence,,,Protest,,No ,Yes ,Unknown,Unknown,Others,Unknown,,Unknown,,,Internet shutdown in Upaipur after murder of a youth,,
171,8/13/2019,8/14/2019,1,News Media Article,https://www.medianama.com/2019/08/223-jaipur-internet-suspended-rajasthan/,Asia Pacific,,India ,Level 1,"Jaipur city, Rajasthan state",State government,State Government,Shutdown,Mobile,Full,,,,,,,None,,Yes ,Unknown,,,Political Instability,Information Control,No ,Yes ,Unknown,Unknown,Others,Unknown,,Unknown,,,Internet shutdown in Jaipur to ensure peace and maintain law and order after communal clashes broke up between two groups,,
174,8/25/2019,8/26/2019,1,News Media Article,https://www.pinkcitypost.com/gangapur-city-communal-tension-internet-services-suspended/,Asia Pacific,,India ,Level 1,"Gangapur City, Sawai Madhopur District, Rajasthan",State government,State Government,Shutdown,Mobile and broadband,Full,,,,,,,None,,Yes ,Fake News / Hate Speech / Incendiary Content or Promoting Violence,,,Communal Violence,,No ,Yes ,Unknown,Unknown,Others,Yes ,Section 144 CrCP,Unknown,,,Internety shutdown in Gangapur city of Sawai Madhopur district to prevent communal violence after clashes erupted between two religious groups,,
180,9/14/2019,9/15/2019,1,News Media Article,https://netblocks.org/reports/internet-disrupted-in-algeria-amid-protests-against-military-influence-pA2znrAb,Africa,,Algeria,Level 3,National ,Uknown ,,Shutdown,Mobile and broadband,Full,FALSE,FALSE,FALSE,FALSE,FALSE,,,Algeria Telecom,Unknown ,Unknown ,,,"Protests
",,No ,Unknown,Unknown,Unknown,,Unknown,,Unknown,,,,,
181,9/22/2019,9/23/2019,1,CSO KIO Partners ,"https://netblocks.org/reports/facebook-messenger-social-media-and-news-sites-disrupted-in-egypt-amid-protests-eA1Jd7Bp

https://www.vice.com/en_us/article/pa73nv/sisi-is-already-trying-to-crush-those-anti-government-protests-in-egypt
https://www.top10vpn.com/assets/2020/01/Top10VPN.com-Cost-of-Internet-Shutdowns-2019-Supporting-Data.pdf",Africa,,Egypt ,Level 3,National,Executive government,President Abdel Fattah al-Sisi,Shutdown,Mobile and broadband,Service-based,TRUE,TRUE,TRUE,TRUE,FALSE,Skype,None,"Telecom Egypt, Raya",No,None,,,Protest,,No,Unknown,Unknown,No,Others,No,,No,,,,,
192,10/25/2019,10/26/2019,1,News Media Article,https://www.alarabiya.net/ar/arab-and-world/iraq/2019/11/12/%D8%AD%D8%AC%D8%A8-%D8%A7%D9%84%D8%A7%D9%86%D8%AA%D8%B1%D9%86%D8%AA-%D9%81%D9%8A-%D8%A7%D9%84%D8%B9%D8%B1%D8%A7%D9%82-%D8%AE%D8%B1%D9%82-%D9%84%D9%84%D9%82%D9%88%D8%A7%D9%86%D9%8A%D9%86-%D9%88%D8%AE%D8%B3%D8%A7%D8%A6%D8%B1-%D8%A8%D8%A7%D9%87%D8%B8%D8%A9,MENA ,,Iraq ,Level 3,National except Kurdish areas ,Executive government,,Shutdown,Mobile and broadband,Full and Service-based,TRUE,TRUE,TRUE,TRUE,FALSE,,,,Unknown ,Unknown,,,Protest,,No,Yes,Yes,Unknown,,Unknown,,Unknown,,,,,
56,3/22/2019,3/24/2019,2,Other,Facebook Transparency Report,Asia Pacific,,India ,Level 1,"Shopian, Jammu and Kashmir",State government,,Shutdown,Mobile and broadband,Service-based,TRUE,FALSE,FALSE,FALSE,FALSE,,None,,Unknown ,Other,Precautionary Measure,,Other,Military Action,No ,Yes,Unknown,Unknown,Others,Unknown,,Unknown,,,Possibly the following precautionary action affter the encounter in Sopore.,,
70,4/11/2019,4/13/2019,2,News Media Article,https://freepresskashmir.com/2019/04/13/shopian-20-civilians-injured-after-clashes-erupt-near-gunfight-site/,Asia Pacific,,India ,,"Shopian, Jammu and Kashmir",State government,State government,Shutdown,Mobile and broadband,Full,FALSE,FALSE,FALSE,FALSE,FALSE,,,,Unknown ,Other,Precautionary Measure,,Other,Military Action,No ,Yes,Unknown,Unknown,Others,Unknown,,Unknown,,,Internet Shutdown in Shopian due to clashes erupted after gunning down of two terrorosts by the security forces,,
81,4/27/2019,4/29/2019,2,CSO KIO Partners ,"https://twitter.com/netblocks/status/1122449020243382272

https://techweez.com/2019/04/28/benin-social-media-blackout/
https://transparency.facebook.com/internet-disruptions",Africa,,Benin ,Level 3,National ,Executive government,,Shutdown,Mobile and broadband,Full and Service-based,TRUE,TRUE,TRUE,TRUE,TRUE,VPN services,None,"MTN 
Moov (Marco Telecom) ",Yes ,Fake News / Hate Speech / Incendiary Content or Promoting Violence,,,Election,Protest,Yes ,Yes ,Unknown,Yes ,Others,Unknown,,Unknown,,,Benin Shuts Down Social Media Access Amid Poll-Fueled Protests,,
178,9/8/2019,9/10/2019,2,News Media Article,"https://www.indiatoday.in/world/story/pakistan-shuts-internet-services-ahead-muharram-1597032-2019-09-09
https://twitter.com/arsalanashraff/status/1171321094084747264?s=20
http://digitalrightsmonitor.pk/reports-of-arbitrary-network-shutdowns-in-karachi-pta-interior-ministry-deny-issuance-of-notices-to-telcos/
https://netblocks.org/reports/pakistan-shuts-down-internet-in-kashmir-restricts-access-in-punjab-and-beyond-3Anw7dB2",Asia Pacific,,Pakistan,,"Faisalabad, Jhang, Multan, Rahimyar Khan, Lahore 
Karachi & Islamabad",Executive government,Pakistan Telecommunication Autority  and Interior Ministry ,Shutdown,Mobile,Full,FALSE,FALSE,FALSE,FALSE,FALSE,,,"Pakistan Telecommunication Company Limited
 and Interior Ministry ",Yes ,National Security,,http://digitalrightsmonitor.pk/network-shutdowns-across-the-country-for-security-reasons-over-ashura/,Religious Holiday/ Annversary,,No ,No ,No ,unknown ,,,,,,,,,
213,12/31/2019,1/2/2020,2,News Media Article,"https://www.news18.com/news/world/muslims-may-seek-to-enter-bangladesh-telecom-regulator-stops-mobile-services-along-india-borde-2441275.html
https://www.news18.com/news/world/2-days-after-stopping-mobile-services-over-security-concerns-along-india-border-bangladesh-reverses-move-2442273.html",Asia Pacific,,Bangladesh,Level 3,Districts that border India ,Executive government,Bangladesh Telecommunication Regulatory Commission  and Foreign Ministry ,Shutdown,Mobile,Full,FALSE,FALSE,FALSE,FALSE,FALSE,,,,Yes ,National Security,,,Unknown ,,No ,No ,No ,No ,,No ,,unknown ,,,,,
94,5/11/2019,5/14/2019,3,News Media Article,"http://www.newindianexpress.com/nation/2019/may/11/a-day-after-violence-uneasy-calm-prevails-in-assams-hailakandi-internet-services-suspended-1975611.html

https://www.barakbulletin.com/en_US/government-disconnects-internet-all-across-barak-valley/",Asia Pacific,,India ,Level 1,"Hailakandi, Barak Vally, Assam",State government,State government,Shutdown,Mobile and broadband,Full,FALSE,FALSE,FALSE,FALSE,FALSE,,None,,Yes ,Other,Precautionary Measure,,Communal Violence,,No ,Yes,Unknown,Yes,Others,Yes,Section 144 CrPC ,Yes,https://www.barakbulletin.com/en_US/government-disconnects-internet-all-across-barak-valley/,,Internet Shutdown in Hailakandi of Barak valley of Assam after one person was killed in police firing following violent clashes between two groups,,
108,5/22/2019,5/25/2019,3,News Media Article,"https://netblocks.org/reports/indonesia-blocks-social-media-as-election-protests-escalate-XADE7LBg

https://techcrunch.com/2019/05/22/indonesia-restricts-whatsapp-and-instagram/

https://securityboulevard.com/2019/06/all-the-internet-shutdowns-of-2019-so-far/
https://transparency.facebook.com/internet-disruptions",Asia Pacific,,Indonesia,Level 3,National ,Executive government,,Shutdown,Mobile and broadband,Service-based,TRUE,TRUE,TRUE,TRUE,FALSE,Facebook Messenger,None,"3 (CK Hutchison), hinet (Berca Hardayaperkasa), Indosat Ooredoo, Net1 (Sampoerna Telekomunikasi Indonesia), Smartfren, Telkomsel (Telkom Indonesia)
XL (Axiata) ",Yes ,Fake News / Hate Speech / Incendiary Content or Promoting Violence,,https://www.scmp.com/week-asia/economics/article/3015612/indonesias-listening-private-internet-chat-groups-whatsapp,Election,,Yes ,Yes ,Yes ,Unknown,Others,Unknown,,Unknown,,,"The day after the election, Indonesia blocked the most popular social media services to ""stop rumors from spreading.""",,
162,7/25/2019,7/30/2019,3,News Media Article,"https://www.indiatoday.in/crime/story/asansol-west-bengal-muslim-beaten-jai-shri-ram-internet-tmc-bjp-1573640-2019-07-25

https://www.ndtv.com/india-news/asansol-after-reports-of-communal-tension-internet-suspended-in-bengals-asansol-2075484",Asia Pacific,,India ,Level 1,"Asansol city, West Bengal state",Law Enforcemnet ,Asansol Police commissioner DP Singh,Shutdown,Mobile and broadband,Full,,,,,,,None,,Yes ,Fake News / Hate Speech / Incendiary Content or Promoting Violence,,,Communal Violence,,No ,Yes ,Unknown,Unknown,Others,Unknown,,Unknown,,,Internet shutdown in Asansol to prevent communal tension after a hawker as beaten up for chanting 'Jai Shri Ram',,
